image_stim,match,corr_key
zero_move_stimuli\zero_move_4.jpg,0,left
zero_move_stimuli\zero_move_2.jpg,0,left
zero_move_stimuli\zero_move_3.jpg,0,left
zero_move_stimuli\zero_move_1.jpg,0,left
zero_move_stimuli\zero_move_5.jpg,0,left
zero_move_stimuli\zero_move_6.jpg,0,left
