inter_stim_inverval,GNG_stim,match
4.5,affective_go_stimuli\puppy_26.jpeg,1
4.0,affective_go_stimuli\puppy_6.jpg,1
5.5,affective_go_stimuli\puppy_22.jpeg,1
4.0,affective_no_go_stimuli\spider_11.jpeg,0
4.5,affective_go_stimuli\puppy_7.jpg,1
6.5,affective_no_go_stimuli\spider_5.jpeg,0
4.5,affective_go_stimuli\puppy_1.jpg,1
5.5,affective_go_stimuli\puppy_17.jpeg,1
6.0,affective_no_go_stimuli\spider_7.jpeg,0
5.5,affective_go_stimuli\puppy_25.jpeg,1
5.5,affective_no_go_stimuli\spider_23.jpg,0
4.0,affective_no_go_stimuli\spider_21.jpg,0
5.5,affective_no_go_stimuli\spider_16.jpeg,0
6.0,affective_no_go_stimuli\spider_15.jpeg,0
4.5,affective_go_stimuli\puppy_29.jpg,1
5.5,affective_no_go_stimuli\spider_29.jpg,0
4.0,affective_no_go_stimuli\spider_24.jpeg,0
4.0,affective_no_go_stimuli\spider_20.jpg,0
6.0,affective_go_stimuli\puppy_30.jpg,1
4.5,affective_go_stimuli\puppy_27.jpg,1
